,device_branch,device_province,device_name,device_ip,device_serial_number,start_ma_date,end_ma_date,start_license_date,end_license_date,end_sw_support_date,end_hw_support_date,start_used_date,user_created
0,TestDev,TestDev,10.36.11.226,10.36.11.226,BH2713AJ0038,2023-01-12,2023-01-12,2023-01-12,2023-01-12,2023-01-12,2023-01-12,2023-01-12,admin
1,ChuongMy,HNI,210.245.54.176,210.245.54.176,Q3AJ7QRCVURU,None,None,None,None,None,None,None,admin
2,CuaBac,HNI,210.245.49.14,210.245.49.14,Q3AJWBXQ69NE,None,None,None,None,None,None,None,admin
3,HoNai,DNI,118.69.34.33,118.69.34.33,Q3AJTGRCADYM,None,None,None,None,None,None,None,admin
4,AnPhu,HCM,14.161.42.41,14.161.42.41,Q3AJ3RT3G6FA,None,None,None,None,None,None,None,admin
5,BachKhoa,HNI,222.252.28.75,222.252.28.75,Q3AJY65QCHDR,None,None,None,None,None,None,None,admin
6,BacLieu,BLU,113.161.219.255,113.161.219.255,Q3AJ8BUSRPQN,None,None,None,None,None,None,None,admin
7,BaDon,QBH,116.98.247.237,116.98.247.237,Q3AJ6FKMS6XW,None,None,None,None,None,None,None,admin
8,BenNgu,HUE,113.161.8.230,113.161.8.230,Q3AJ6ERXXC8L,None,None,None,None,None,None,None,admin
9,BinhDinh,BDH,118.69.182.197,118.69.182.197,Q3AJ6WDZT6HH,None,None,None,None,None,None,None,admin
10,BoTrach,QBH,123.25.116.94,123.25.116.94,Q3AJBJC8BJ8D,None,None,None,None,None,None,None,admin
11,Cong,HCM,113.161.93.65,113.161.93.65,Q3AJL6LHFSU7,None,None,None,None,None,None,None,admin
12,CuaDong,NAN,113.160.171.64,113.160.171.64,Q3AJWBA4WQ4A,None,None,None,None,None,None,None,admin
13,CuChi,HCM,118.69.233.153,118.69.233.153,Q3AJ79SUU5TA,None,None,None,None,None,None,None,admin
14,DaLat,LDG,118.69.153.23,118.69.153.23,Q3AJFXDQ45X8,None,None,None,None,None,None,None,admin
15,DienBien,HYN,210.245.74.27,210.245.74.27,Q3AJ87348UFQ,None,None,None,None,None,None,None,admin
16,DoiCan,HNI,210.245.51.246,210.245.51.246,Q3AJXNCVJJGE,None,None,None,None,None,None,None,admin
17,DongDa,HNI,14.241.120.43,14.241.120.43,Q3AJQDEWXYUV,None,None,None,None,None,None,None,admin
18,DongDo,HNI,42.115.45.244,42.115.45.244,Q3AJ4M3ZV82Q,None,None,None,None,None,None,None,admin
19,DongHaNoi,HNI,222.252.12.81,222.252.12.81,Q3AJR8FB6UGR,None,None,None,None,None,None,None,admin
20,DongTho,THA,118.70.73.116,118.70.73.116,Q3AJ6ETQL9BW,None,None,None,None,None,None,None,admin
