,device_branch,device_province,device_name,device_ip,device_rack_name,device_rack_unit,user_created
0,TestDev,TestDev,DRHL-Core-FW-01,10.36.11.226,H12A,19.0,admin
1,CoreSw,TTVMT,TTVMT-CoreSw01,10.196.9.1,1,22.0,admin
2,SF,TTVMT,TTVMT-SF-Sw01,10.196.9.2,1,42.0,admin
3,SwCore,TTVMN,TTVMN-SwCore01,10.128.9.1,G6,35.0,admin
4,SF,TTVMN,TTVMN-SF-SW01,10.128.9.2,G6,39.0,admin
5,Outbound,TTVMN,Fw-Outbound01,10.128.12.86,G6,20.0,admin
6,89LH,89LH,89LH-T15-R2-CORE-SW,10.39.190.1,,,admin
7,89LH,89LH,89LH-T15-WLC-02,10.39.132.13,,,admin
8,89LH,89LH,89LH-T1-R1-DIST-SW-01,10.39.190.11,,,admin
9,89LH,89LH,89LH-T1-R1-ACC-SW-POE-01,10.39.191.1,,,admin
10,89LH,89LH,89LH-TM-R1-DIST-SW-01,10.39.190.13,,,admin
11,89LH,89LH,89LH-TM-R1-ACC-SW-POE-01,10.39.191.5,,,admin
12,89LH,89LH,89LH-T2-R2-DIST-SW-01,10.39.190.12,,,admin
13,89LH,89LH,89LH-T10-R2-DIST-SW-01,10.39.190.20,,,admin
14,89LH,89LH,89LH-T10-R1-ACC-SW-POE-01,10.39.191.7,,,admin
15,89LH,89LH,89LH-T11-R2-DIST-SW-01,10.39.190.21,,,admin
16,89LH,89LH,89LH-T12-R2-DIST-SW-01,10.39.190.22,,,admin
17,89LH,89LH,89LH-T12A-R2-DIST-SW-01,10.39.190.23,,,admin
18,89LH,89LH,89LH-T14-R2-DIST-SW-01,10.39.190.24,,,admin
19,89LH,89LH,89LH-T15-R2-DIST-SW-01,10.39.190.25,,,admin
20,89LH,89LH,89LH-T16-R2-DIST-SW-01,10.39.190.26,,,admin
21,89LH,89LH,89LH-T17-R2-DIST-SW-01,10.39.190.27,,,admin
22,89LH,89LH,89LH-T18-R2-DIST-SW-01,10.39.190.28,,,admin
23,89LH,89LH,89LH-T19-R2-DIST-SW-01,10.39.190.29,,,admin
24,89LH,89LH,89LH-T20-R1-DIST-SW-01,10.39.190.234,,,admin
25,89LH,89LH,89LH-T20-R1-POE-SW-01,10.39.190.239,,,admin
26,89LH,89LH,89LH-T22-R2-SW-DIS-01,10.39.191.140,,,admin
27,89LH,89LH,89LH-T23-R2-DIST-SW-01,10.39.191.50,,,admin
28,89LH,89LH,89LH-T23-R3-POE-SW-01,10.39.191.51,,,admin
29,89LH,89LH,89LH-T24-R2-DIST-SW-01,10.39.191.66,,,admin
30,89LH,89LH,89LH-T24-R1-PoE-SW-01,10.39.191.67,,,admin
31,89LH,89LH,89LH-T26-R2-DIST-SW-01,10.39.191.58,,,admin
32,89LH,89LH,89LH-T26-R1-PoE-SW-01,10.39.191.59,,,admin
33,89LH,89LH,89LH-T27-R1-DIST-SW,10.39.191.42,,,admin
34,89LH,89LH,89LH-T28-R1-DIST-SW,10.39.190.38,,,admin
35,VietHai,VietHai,VHT-T1-ASW-C9300-STA,10.39.90.2,,,admin
36,VietHai,VietHai,VHT-T1A-DSW-C9300-STA,10.39.90.121,,,admin
37,VietHai,VietHai,VHT-T2-DSW-C9300-STA,10.39.90.122,,,admin
38,VietHai,VietHai,VHT-T3-DSW-C9300-STA,10.39.90.123,,,admin
39,VietHai,VietHai,VHT-T4-DSW-C9300-STA,10.39.90.124,,,admin
40,VietHai,VietHai,VHT-T5-DSW-C9300-STA,10.39.90.125,,,admin
41,VietHai,VietHai,VHT-T6-DSW-C9300-STA,10.39.90.126,,,admin
42,VietHai,VietHai,VHT-T7-DSW-C9300-STA,10.39.90.127,,,admin
43,VietHai,VietHai,VTH-T8-DSW-C9300-STA,10.39.90.128,,,admin
44,VietHai,VietHai,VHT-T9-DSW-C9300-STA,10.39.90.129,,,admin
45,VietHai,VietHai,VHT-T10-DSW-C9300-STA,10.39.90.130,,,admin
46,VietA,VietA,VTA-T3-CSW1-C9k3-STA,10.39.65.1,,,admin
47,VietA,VietA,VTA-T3-DSW1-C9k3-STA,10.39.65.154,,,admin
48,VietA,VietA,VTA-T4-DSW1-C9k3-STA,10.39.65.155,,,admin
49,VietA,VietA,VTA-T4-DSW2-C9k3-STA,10.39.65.156,,,admin
50,HOMN,HOMN,HOMN-T10-CORE-0102,10.100.176.1,,,admin
51,HOMN,HOMN,HOMN-T10-DIST-0102,10.100.176.4,,,admin
52,HOMN,HOMN,HOMN-T10-ACC-02,10.100.176.31,,,admin
53,HOMN,HOMN,HOMN-T10-ACC-03,10.100.176.32,,,admin
54,HOMN,HOMN,HOMN-T10-ACC-04,10.100.176.33,,,admin
55,HOMN,HOMN,HOMN-T10-ACC-05,10.100.176.34,,,admin
56,HOMN,HOMN,HOMN-T10-ACC-06,10.100.176.35,,,admin
57,HOMN,HOMN,HOMN-T10-ACC-07,10.100.176.36,,,admin
58,HOMN,HOMN,HOMN-T10-ACC-08,10.100.176.37,,,admin
59,HOMN,HOMN,HOMN-T10-POE-01,10.100.176.38,,,admin
60,HOMN,HOMN,HOMN-B1-DIST-0102,10.100.176.8,,,admin
61,HOMN,HOMN,HOMN-TB1-ACC-01,10.100.176.40,,,admin
62,HOMN,HOMN,HOMN-TG-DIST-0102,10.100.176.12,,,admin
63,HOMN,HOMN,HOMN-TG-POE-01,10.100.176.44,,,admin
64,HOMN,HOMN,HOMN-T1-DIST-0102,10.100.176.10,,,admin
65,HOMN,HOMN,HOMN-T1-ACC-01,10.100.176.48,,,admin
66,HOMN,HOMN,HOMN-T1-ACC-02,10.100.176.51,,,admin
67,HOMN,HOMN,HOMN-T1-ACC-03,10.100.176.52,,,admin
68,HOMN,HOMN,HOMN-T1-ACC-04,10.100.176.53,,,admin
69,HOMN,HOMN,HOMN-T1-ACC-05,10.100.176.54,,,admin
70,HOMN,HOMN,HOMN-T1-ACC-06,10.100.176.55,,,admin
71,HOMN,HOMN,HOMN-T1-ACC-07,10.100.176.71,,,admin
72,HOMN,HOMN,HOMN-T1-ACC-08,10.100.176.70,,,admin
73,HOMN,HOMN,HOMN-T1-ACC-09,10.100.176.205,,,admin
74,HOMN,HOMN,HOMN-T1-ACC-10,10.100.176.204,,,admin
75,HOMN,HOMN,HOMN-T1-POE-01,10.100.176.49,,,admin
76,HOMN,HOMN,HOMN-T1-POE-02,10.100.176.50,,,admin
77,HOMN,HOMN,HOMN-T17-DIST-0102,10.100.176.6,,,admin
78,HOMN,HOMN,HOMN-T17-POE-01,10.100.176.59,,,admin
79,HOMN,HOMN,HOMN-T10-WLC-01,10.100.175.4,,,admin
80,VietHai,VietHai,VHT-T8-CORE-C9300-STA,10.39.90.1,,,admin
81,TTVMT,TTVMT,DNG-ASG01,10.196.9.6,1,13.0,admin
82,TTVMT,TTVMT,DNG-ASG02,10.196.9.8,1,12.0,admin
83,TTVMT,TTVMT,TTV-MT-FW-01,10.196.129.252,1,28.0,admin
84,TTVMT,TTVMT,TTV-MT-FW-02,10.196.129.253,1,26.0,admin
85,TTVMT,TTVMT,TTV-MT-RT01,10.31.255.142,1,20.0,admin
86,TTVMT,TTVMT,TTVMT-RT-02,10.31.255.138,1,19.0,admin
87,TTVMN,TTVMN,TTVMN-RT01,10.31.255.35,G6,23.0,admin
88,TTVMN,TTVMN,TTVMN-RT02,10.31.255.36,G6,25.0,admin
89,TTVMN,TTVMN,TTVMN-DC-SF-SW02-9-3,10.128.9.3,G5,40.0,admin
90,TTVMN,TTVMN,TTVMN-DC-SF-SW02-9-9,10.128.9.9,G6,26.0,admin
91,TTVMN,TTVMN,HCM-ASG01,10.128.11.111,G5,32.0,admin
92,TTVMN,TTVMN,HCM-ASG02,10.128.11.112,G5,31.0,admin
93,TTVMN,TTVMN,HCM-ASG03-VM-,10.128.11.27,,,admin
94,TTVMN,TTVMN,TTVMN-DC-CP5100-01,10.128.128.19,G6,31.0,admin
95,TTVMN,TTVMN,TTVMN-DC-CP5100-02,10.128.128.20,G6,29.0,admin
96,89LH,89LH,89LH-T15-R3-RTR-01,10.39.130.1,,,admin
97,89LH,89LH,89LH-T15-R3-RTR-02,10.39.130.2,,,admin
98,89LH,89LH,89LH-RT-INTERNET-01,10.39.214.1,,,admin
99,89LH,89LH,Wifi-Guest-RT-Internet,10.39.214.10,,,admin
100,89LH,89LH,89LH-T15-CP5900-01,10.39.130.6,,,admin
101,89LH,89LH,89LH-T15-CP5900-02,10.39.130.7,,,admin
102,89LH,89LH,89LH-T1-R1-ACC-SW-01,10.39.190.40,,,admin
103,89LH,89LH,89LH-T1-R1-ACC-SW-02,10.39.190.65,,,admin
104,89LH,89LH,89LH-T1-R1-ACC-SW-03,10.39.191.160,,,admin
105,89LH,89LH,89LH-T1-R1-ACC-SW-04,10.39.191.161,,,admin
106,89LH,89LH,89LH-T1-R1-ACC-SW-05,10.39.191.162,,,admin
107,89LH,89LH,89LH-TM-R1-ACC-SW-01-191-165,10.39.191.165,,,admin
108,89LH,89LH,89LH-TM-R1-ACC-SW08-191-166,10.39.191.166,,,admin
109,89LH,89LH,89LH-TM-R1-ACC-SW-01-191-164,10.39.191.164,,,admin
110,89LH,89LH,89LH-TM-R1-ACC-SW-01,10.39.190.70,,,admin
111,89LH,89LH,89LH-TM-R1-ACC-SW-11-191-246,10.39.191.246,,,admin
112,89LH,89LH,89LH-TM-R1-ACC-SW-02-191-195,10.39.191.195,,,admin
113,89LH,89LH,89LH-T2-R2-ACC-SW-01-191-212,10.39.191.212,,,admin
114,89LH,89LH,89LH-T2-R2-ACC-SW-01-191-211,10.39.191.211,,,admin
115,89LH,89LH,89LH-T2-R2-ACC-SW-01-190-55,10.39.190.55,,,admin
116,89LH,89LH,89LH-T2-R2-ACC-SW-01-191-213,10.39.191.213,,,admin
117,89LH,89LH,89LH-T2-R2-ACC-SW-02-190-56,10.39.190.56,,,admin
118,89LH,89LH,89LH-T2-R2-ACC-SW-02-191-126,10.39.191.126,,,admin
119,89LH,89LH,89LH-T2-R1-ACC-SW-03,10.39.190.57,,,admin
120,89LH,89LH,89LH-T2-R1-ACC-SW-04,10.39.190.58,,,admin
121,89LH,89LH,89LH-T2-R1-ACC-SW-05,10.39.190.59,,,admin
122,89LH,89LH,89LH-T2-R1-ACC-SW-06,10.39.190.60,,,admin
123,89LH,89LH,89LH-T2-R1-ACC-SW-07,10.39.190.61,,,admin
124,89LH,89LH,89LH-T2-R1-ACC-SW-08,10.39.190.62,,,admin
125,89LH,89LH,89LH-T02-ACC-SW-09-191-194,10.39.191.194,,,admin
126,89LH,89LH,89LH-T2-ACC-SW-09,10.39.190.201,,,admin
127,89LH,89LH,89LH-T02-ACC-SW-10-191-190,10.39.191.190,,,admin
128,89LH,89LH,89LH-T2-ACC-SW-10,10.39.190.202,,,admin
129,89LH,89LH,89LH-T2-ACC-SW-11-190-36,10.39.190.36,,,admin
130,89LH,89LH,89LH-T2-R2-ACC-SW-POE-02,10.39.191.4,,,admin
131,89LH,89LH,T2-Camera-Tamthoi,10.39.191.252,,,admin
132,89LH,89LH,89LH-T10-R3-ACC-SW-POE-02,10.39.191.8,,,admin
133,89LH,89LH,89LH-T10-SW-thaythe,10.39.190.97,,,admin
134,89LH,89LH,89LH-T10-R3-ACC-SW-01-190-85,10.39.190.85,,,admin
135,89LH,89LH,89LH-T10-R3-ACC-SW-01-191-177,10.39.191.177,,,admin
136,89LH,89LH,89LH-T10-R3-ACC-SW-01-191-176,10.39.191.176,,,admin
137,89LH,89LH,89LH-T10-R3-ACC-SW-01-191-175,10.39.191.175,,,admin
138,89LH,89LH,89LH-T10-R3-ACC-SW-03,10.39.190.87,,,admin
139,89LH,89LH,89LH-T10-R1-ACC-SW-10,10.39.191.133,,,admin
140,89LH,89LH,89LH-T10-R3-ACC-SW-03-191-157,10.39.191.157,,,admin
141,89LH,89LH,89LH-T10-R3-ACC-SW-03-191-156,10.39.191.156,,,admin
142,89LH,89LH,89LH-T10-R3-ACC-SW-13-191-233,10.39.191.233,,,admin
143,89LH,89LH,89LH-T10-R3-ACC-SW-02-191-179,10.39.191.179,,,admin
144,89LH,89LH,89LH-T10-R3-ACC-SW-02-190-86,10.39.190.86,,,admin
145,89LH,89LH,89LH-T10-R3-ACC-SW-02-191-180,10.39.191.180,,,admin
146,89LH,89LH,89LH-T10-R3-ACC-SW-02-191-163,10.39.191.163,,,admin
147,89LH,89LH,89LH-T10-R1-ACC-SW-08,10.39.190.92,,,admin
148,89LH,89LH,89LH-T10-R1-ACC-SW-09,10.39.190.93,,,admin
149,89LH,89LH,89LH-T10-R1-ACC-SW-11,10.39.190.95,,,admin
150,89LH,89LH,89LH-T10-R1-ACC-SW-10,10.39.190.94,,,admin
151,89LH,89LH,89LH-T10-R1-ACC-SW-12,10.39.190.96,,,admin
152,89LH,89LH,89LH-T10-R1-ACC-SW-04,10.39.190.88,,,admin
153,89LH,89LH,89LH-T10-R1-ACC-SW-05,10.39.190.89,,,admin
154,89LH,89LH,89LH-T10-R1-ACC-SW-06,10.39.190.90,,,admin
155,89LH,89LH,89LH-T10-R1-ACC-SW-07,10.39.190.91,,,admin
156,89LH,89LH,89LH-T10-R1-ACC-SW-191-193,10.39.191.193,,,admin
157,89LH,89LH,89LH-T11-R1-ACC-SW-POE-01,10.39.191.9,,,admin
158,89LH,89LH,89LH-T11-R3-ACC-SW-POE-02,10.39.191.10,,,admin
159,89LH,89LH,89LH-T11-R3-ACC-SW-01,10.39.191.110,,,admin
160,89LH,89LH,89LH-T11-R3-ACC-SW-02,10.39.191.111,,,admin
161,89LH,89LH,89LH-T11-R3-ACC-SW-03,10.39.191.112,,,admin
162,89LH,89LH,89LH-T11-R3-ACC-SW-04,10.39.191.113,,,admin
163,89LH,89LH,89LH-T11-R3-ACC-SW-05,10.39.191.114,,,admin
164,89LH,89LH,89LH-T11-R3-ACC-SW-06,10.39.191.115,,,admin
165,89LH,89LH,89LH-T11-R3-ACC-SW-07,10.39.191.116,,,admin
166,89LH,89LH,89LH-T11-R3-ACC-SW-08,10.39.191.117,,,admin
