,device_branch,device_province,device_name,device_ip,device_rack_name,device_rack_unit,user_created
0,,DC,example,10.36.11.226,H12A,19.0,admin
1,HNI,HNI,AP-Chuong-My-02,210.245.54.176,,,admin
2,,HNI,AP-Cua-Bac-02,210.245.49.14,,,admin
3,,HCM,CN-AnPhu-02,14.161.42.41,,,admin
4,,HNI,CN-BachKhoa-02,222.252.28.75,,,admin
5,,BLU,CN-BacLieu-02,113.161.219.255,,,admin
6,,QBH,CN-BaDon-02,116.98.247.237,,,admin
7,,HUE,CN-BenNgu-02,113.161.8.230,,,admin
8,,QBH,CN-BoTrach-02,123.25.116.94,,,admin
9,,HCM,CN-Cong-Hoa-02,113.161.93.65,,,admin
10,,NAN,CN-CuaDong-SongLam-02,113.160.171.64,,,admin
11,,HCM,CN-CuChi-02,118.69.233.153,,,admin
12,,LDG,CN-DaLat-02,118.69.153.23,,,admin
13,,HYN,CN-DienBien-02,210.245.74.27,,,admin
14,,HNI,CN-DoiCan-02,210.245.51.246,,,admin
15,,HNI,CN-DongDa-02,14.241.120.43,,,admin
16,,HNI,CN-DongDo-02,42.115.45.244,,,admin
17,,HNI,CN-DongHaNoi-02,222.252.12.81,,,admin
18,,THA,CN-DongTho-LamSon-02,118.70.73.116,,,admin
19,,HNM,CN-DongVan-02,210.245.75.14,,,admin
20,,NDH,CN-DoQuan-02,113.160.218.168,,,admin
21,,HNI,CN-GiaLam-02,14.232.155.229,,,admin
22,,HBH,CN-HoaBinh-02,118.70.131.161,,,admin
23,,HNI,CN-Hoai-Duc-02-Tang-2-,14.177.66.175,,,admin
24,,NBH,CN-HoaLu-02,118.70.49.84,,,admin
25,,QNH,CN-HongHa-02,113.160.122.136,,,admin
26,,KGG,CN-KienGiang-02,210.245.110.18,,,admin
27,,LCI,CN-KimTan-02,118.70.49.127,,,admin
28,,HCM,CN-LeVanSy-02,113.161.64.161,,,admin
29,,HCM,CN-LeVanViet-02,118.69.152.66,,,admin
30,,HNI,CN-NamTuLiem-02,118.70.132.70,,,admin
31,,BGG,CN-NgoGiaTu-02,118.70.120.13,,,admin
32,,HTH,CN-NguyenDu-02,113.160.178.230,,,admin
33,,NAN,CN-NguyenVanCu-02,118.70.127.63,,,admin
34,,CTO,CN-NinhKieu-02,113.161.210.211,,,admin
35,,HNI,CN-PhamHung-02,118.70.131.21,,,admin
36,,HCM,CN-PhanHuyIch-02,113.161.94.42,,,admin
37,,TNN,CN-PhoYen-02,210.245.74.12,,,admin
38,,HCM,CN-PhuocKien-02,118.69.53.223,,,admin
39,,KHA,CN-PhuocTien-02,171.244.80.31,,,admin
40,,QNI,CN-QuangNgai-02,118.69.63.64,,,admin
41,,QTI,CN-QuangTri-02,222.252.250.116,,,admin
42,,BNH,CN-QueVo-02,118.70.128.129,,,admin
43,,HCM,CN-SaiGon-02,118.69.182.180,,,admin
44,,HNI,CN-SocSon-02,222.252.1.33,,,admin
45,,STG,CN-SocTrang-02,118.69.37.244,,,admin
46,,BDG,CN-TanUyen-02,113.161.222.117,,,admin
47,,HNI,CN-ThangLong-02,118.70.135.31,,,admin
48,,TGG,CN-TienGiang-02,123.25.238.49,,,admin
49,,HNI,CN-TranDuyHung-02,123.24.143.57,,,admin
50,,HNI,CN-TranHungDao-02,27.72.88.101,,,admin
51,,THA,CN-TruongThi-02,113.160.187.46,,,admin
52,,VLG,CN-VinhLong-02,118.69.62.89,,,admin
53,,VTU,CN-XuyenMoc-02,14.237.91.133,,,admin
54,,HNI,AP-NamHaNoi-02,118.71.5.127,,,admin
