,device_name,device_ip,device_branch,device_province,device_type,device_category,device_vendor,device_os,device_firmware,device_stack,device_tag,device_description,device_creation_time,user_created
0,AP-Chuong-My-01,210.245.54.176,ChuongMy,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,,ChuongMy,2024-04-12 08:52:58.721403+00:00,admin
1,AP-Cua-Bac-01,210.245.49.14,CuaBac,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,CuaBac,2024-04-12 08:52:58.731442+00:00,admin
2,AP-HoNai-01,118.69.34.33,HoNai,DNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,HoNai,2024-04-12 08:52:58.740954+00:00,admin
3,CN-AnPhu-01,14.161.42.41,AnPhu,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,AnPhu,2024-04-12 08:52:58.750152+00:00,admin
4,CN-BachKhoa-01,222.252.28.75,BachKhoa,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,BachKhoa,2024-04-12 08:52:58.764074+00:00,admin
5,CN-BacLieu-01,113.161.219.255,BacLieu,BLU,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,BacLieu,2024-04-12 08:52:58.778025+00:00,admin
6,CN-BaDon-01,116.98.247.237,BaDon,QBH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,BaDon,2024-04-12 08:52:58.790753+00:00,admin
7,CN-BenNgu-01,113.161.8.230,BenNgu,HUE,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,BenNgu,2024-04-12 08:52:58.804783+00:00,admin
8,CN-BinhDinh-01,118.69.182.197,BinhDinh,BDH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,BinhDinh,2024-04-12 08:52:58.821941+00:00,admin
9,CN-BoTrach-01,123.25.116.94,BoTrach,QBH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,BoTrach,2024-04-12 08:52:58.835010+00:00,admin
10,CN-Cong-Hoa-01,113.161.93.65,Cong,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,Cong,2024-04-12 08:52:58.849462+00:00,admin
11,CN-CuaDong-SongLam-01,113.160.171.64,CuaDong,NAN,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,CuaDong,2024-04-12 08:52:58.865552+00:00,admin
12,CN-CuChi-01,118.69.233.153,CuChi,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,CuChi,2024-04-12 08:52:58.880939+00:00,admin
13,CN-DaLat-01,118.69.153.23,DaLat,LDG,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DaLat,2024-04-12 08:52:58.896149+00:00,admin
14,CN-DienBien-01,210.245.74.27,DienBien,HYN,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DienBien,2024-04-12 08:52:58.909200+00:00,admin
15,CN-DoiCan-01,210.245.51.246,DoiCan,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DoiCan,2024-04-12 08:52:58.920016+00:00,admin
16,CN-DongDa-01,14.241.120.43,DongDa,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DongDa,2024-04-12 08:52:58.931409+00:00,admin
17,CN-DongDo-01,42.115.45.244,DongDo,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DongDo,2024-04-12 08:52:58.941001+00:00,admin
18,CN-DongHaNoi-01,222.252.12.81,DongHaNoi,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DongHaNoi,2024-04-12 08:52:58.950731+00:00,admin
19,CN-DongTho-LamSon-01,118.70.73.116,DongTho,THA,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DongTho,2024-04-12 08:52:58.959994+00:00,admin
20,CN-DongVan-01,210.245.75.14,DongVan,HNM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DongVan,2024-04-12 08:52:58.970005+00:00,admin
21,CN-DoQuan-01,113.160.218.168,DoQuan,NDH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,DoQuan,2024-04-12 08:52:58.979553+00:00,admin
22,CN-GiaLam-01,14.232.155.229,GiaLam,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,GiaLam,2024-04-12 08:52:58.989000+00:00,admin
23,CN-HoaBinh-01,118.70.131.161,HoaBinh,HBH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,HoaBinh,2024-04-12 08:52:58.998054+00:00,admin
24,CN-Hoai-Duc-01-Tang-1-,14.177.66.175,Hoai-Duc-01-Tang,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,Hoai-Duc-01-Tang,2024-04-12 08:52:59.006955+00:00,admin
25,CN-HoaLu-01,118.70.49.84,HoaLu,NBH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,HoaLu,2024-04-12 08:52:59.016249+00:00,admin
26,CN-HoChiMinh-01,210.245.35.124,HoChiMinh,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,HoChiMinh,2024-04-12 08:52:59.025971+00:00,admin
27,CN-HongHa-01,113.160.122.136,HongHa,QNH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,HongHa,2024-04-12 08:52:59.034777+00:00,admin
28,CN-KienGiang-01,210.245.110.18,KienGiang,KGG,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,KienGiang,2024-04-12 08:52:59.043568+00:00,admin
29,CN-KimTan-01,118.70.49.127,KimTan,LCI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,KimTan,2024-04-12 08:52:59.052465+00:00,admin
30,CN-LeVanSy-01,113.161.64.161,LeVanSy,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,LeVanSy,2024-04-12 08:52:59.061367+00:00,admin
31,CN-LeVanViet-01,118.69.152.66,LeVanViet,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,LeVanViet,2024-04-12 08:52:59.070383+00:00,admin
32,CN-NamTuLiem-01,118.70.132.70,NamTuLiem,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,NamTuLiem,2024-04-12 08:52:59.080234+00:00,admin
33,CN-NgoGiaTu-01,118.70.120.13,NgoGiaTu,BGG,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,NgoGiaTu,2024-04-12 08:52:59.089431+00:00,admin
34,CN-NguyenDu-01,113.160.178.230,NguyenDu,HTH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,NguyenDu,2024-04-12 08:52:59.098925+00:00,admin
35,CN-NguyenDuyTrinh-01,118.69.226.233,NguyenDuyTrinh,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,NguyenDuyTrinh,2024-04-12 08:52:59.108094+00:00,admin
36,CN-NguyenVanCu-01,118.70.127.63,NguyenVanCu,NAN,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,NguyenVanCu,2024-04-12 08:52:59.117065+00:00,admin
37,CN-NinhKieu-01,113.161.210.211,NinhKieu,CTO,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,NinhKieu,2024-04-12 08:52:59.126915+00:00,admin
38,CN-PhamHung-01,118.70.131.21,PhamHung,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,PhamHung,2024-04-12 08:52:59.135682+00:00,admin
39,CN-PhanHuyIch-01,113.161.94.42,PhanHuyIch,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,PhanHuyIch,2024-04-12 08:52:59.144633+00:00,admin
40,CN-PhoYen-01,210.245.74.12,PhoYen,TNN,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,PhoYen,2024-04-12 08:52:59.153715+00:00,admin
41,CN-PhuLam-01,113.161.47.63,PhuLam,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,PhuLam,2024-04-12 08:52:59.162989+00:00,admin
42,CN-PhuocKien-01,118.69.53.223,PhuocKien,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,PhuocKien,2024-04-12 08:52:59.171930+00:00,admin
43,CN-PhuocTien-01,171.244.80.31,PhuocTien,KHA,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,PhuocTien,2024-04-12 08:52:59.181643+00:00,admin
44,CN-PhuYen-01,118.69.183.154,PhuYen,PYN,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,PhuYen,2024-04-12 08:52:59.190395+00:00,admin
45,CN-QuangNgai-01,118.69.63.64,QuangNgai,QNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,QuangNgai,2024-04-12 08:52:59.199414+00:00,admin
46,CN-QuangTri-01,222.252.250.116,QuangTri,QTI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,QuangTri,2024-04-12 08:52:59.208724+00:00,admin
47,CN-QueVo-01,118.70.128.129,QueVo,BNH,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,QueVo,2024-04-12 08:52:59.217650+00:00,admin
48,CN-SaiGon-01,118.69.182.180,SaiGon,HCM,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,SaiGon,2024-04-12 08:52:59.226973+00:00,admin
49,CN-SocSon-01,222.252.1.33,SocSon,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,SocSon,2024-04-12 08:52:59.236215+00:00,admin
50,CN-SocTrang-01,118.69.37.244,SocTrang,STG,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,SocTrang,2024-04-12 08:52:59.245562+00:00,admin
51,CN-TanUyen-01,113.161.222.117,TanUyen,BDG,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,TanUyen,2024-04-12 08:52:59.254902+00:00,admin
52,CN-ThangLong-01,118.70.135.31,ThangLong,HNI,MR36,AccessPoint,Cisco,MerakiOS,,False,duplicated,ThangLong,2024-04-12 08:52:59.264316+00:00,admin
